Rank,Artist,Album,Total,EAS
319,Lil Peep,"Come Over When You're Sober, Pt. 2",1717436222,1714671
320,Usher,Confessions (Expanded Edition),1714386790,1711626
321,Farruko,Gangalee,1712475703,1709718
322,Queen,The Game (Deluxe Edition 2011 Remaster),1710873897,1708119
323,Sigala,Brighter Days,1705988987,1703242
324,"Tyler, The Creator",Flower Boy,1704635154,1701890
325,One Direction,Up All Night,1701009067,1698270
326,Becky Hill,Get To Know,1700790098,1698051
327,The 1975,The 1975 (Deluxe),1699710259,1696973
328,Flo Rida,Wild Ones (Deluxe),1698572045,1695837
329,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),1697516002,1694782
330,Disclosure,Settle (Special Edition),1696983733,1694251
331,Various Artists,Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),1695416445,1692686
332,The Lumineers,Cleopatra (Deluxe),1688492279,1685773
333,21 Savage,Without Warning,1687441422,1684724
334,Mike Posner,"At Night, Alone. (Expanded Edition)",1686832960,1684117
335,Chris Brown,Indigo (Extended),1681748201,1679040
336,Drake,What A Time To Be Alive,1678918435,1676215
337,Jeremih,Late Nights: The Album,1677925004,1675223
338,Lil Baby,Drip Harder,1675296246,1672599
339,Bob Marley & The Wailers,Exodus 40 (40th Anniversary Deluxe Edition),1669850971,1667162
340,Black Eyed Peas,Translation,1666783427,1664099
341,The Notorious B.I.G.,Ready to Die (The Remaster),1664798314,1662117
342,J Balvin,JOSE,1661138100,1658463
343,Mac Miller,Swimming,1659385417,1656713
344,Lil Mosey,Certified Hitmaker (AVA Leak),1654675951,1652011
345,Twenty One Pilots,Trench,1647870097,1645217
346,Robin Schulz,Sugar,1644435286,1641787
347,Pitbull,Globalization,1643405686,1640759
348,P!nk,The Truth About Love,1642865329,1640220
349,Michael Jackson,Bad 25th Anniversary,1641271169,1638628
350,Kid Cudi,Man On The Moon: The End Of Day,1639198288,1636559
351,Green Day,American Idiot (Deluxe),1637775071,1635138
352,Rauw Alejandro,Afrodisíaco,1631590121,1628963
353,DaBaby,KIRK,1626611817,1623992
354,Jack Harlow,Thats What They All Say,1623886456,1621272
355,Little Mix,Get Weird (Expanded Edition),1618868848,1616262
356,Eminem,Revival,1615159023,1612558
357,SAINt JHN,While The World Was Burning,1612924422,1610327
358,KAROL G,OCEAN,1604613688,1602030
359,Rae Sremmurd,SremmLife 2 (Deluxe),1604247297,1601664
360,Coldplay,Viva La Vida (Prospekt's March Edition),1601501714,1598923
361,French Montana,Jungle Rules,1601363021,1598784
362,Lil Peep,"Come Over When You're Sober, Pt. 1",1599556616,1596981
363,David Guetta,One More Love (Deluxe),1590156176,1587596
364,21 Savage,i am > i was (Deluxe),1588769712,1586211
365,Queen,Jazz (Deluxe Edition 2011 Remaster),1581985669,1579438
366,JAY-Z,Watch The Throne (Deluxe),1581023566,1578478
367,Arctic Monkeys,Favourite Worst Nightmare,1569071496,1566545
368,BTS,Love Yourself 承 'Her',1568262293,1565737
369,Travis Scott,Rodeo (Expanded Edition),1564282557,1561764
370,Mau y Ricky,Para Aventuras y Curiosidades,1563823074,1561305
371,Lil Tjay,True 2 Myself,1563699698,1561182
372,Gorillaz,Demon Days,1561513225,1558999
373,Coldplay,Mylo Xyloto,1549974552,1547479
374,Conan Gray,Kid Krow,1549843341,1547348
375,Miley Cyrus,The Time Of Our Lives (International Version),1543411065,1540926
376,Of Monsters and Men,My Head Is An Animal,1540648078,1538167
377,Kendrick Lamar,To Pimp A Butterfly,1536857197,1534382
378,Taylor Swift,evermore (deluxe version),1531092479,1528627
